id,description,code,model_code,confidence
1,Accommodation الااقامة Charges(M),0.0.0,11.2.0,1.0
2,Hotel :Zahrat Alsaad 4 Hotel Room Type : Quad Qty : 9 Check-In :01-03-2025 Check-Out :31-03-2025 Night 30,11.2.0,11.2.0,1.0
3,Res. Rent إيجار سكنى n HAJV1-RM1-064 n الهجرين الطابق الارضي - غرفة 064 nمن تاريخ: 2025/1/1 - 2025/6/30 n,04.1.1,04.1.1,1.0
4,RWF- الوحدة رقم 214 الإيجار من 15/مارس/2025 إلى 14/يونيو/2025RWF- Unit No.214 Rent from 15/Mar/2025 to 14/Jun/2025,04.1.2,04.1.2,1.0
5,Res. Rent إيجار سكنى n SRYA1-AP2-038 n مجمع السرايا السكني - ارضي - شقة غرفتين 038 C nمن تاريخ: 2025/1/1 - 2025/6/30 n,04.1.1,04.1.1,1.0
6,قيمة ايجار عن الفترة 2025/07/01 الي تاريخ 2026/06/31,04.1.1,04.1.2,1.0
7,الدفعة الأولى من ايجار مستودع جازان للفترة من 01/01/2025 الى 30/06/2025,04.1.2,04.1.2,1.0
8,ام جي 5 ابيض داخلي بيج نص فل 1500 سي سي 2024,07.1.1,07.1.2,1.0
9,ايسوزو دينا 4 طن 4.30 ابيض د/رصاصي 2025 - ياباني,07.1.1,07.1.9,1.0
10,ر ح ك 5280 - Changan CS35 PLUS,07.1.1,07.1.1,0.99
11,بيع فورد اكسبديشن 2014 لوحة ح ق ل 6675,07.1.1,07.1.1,1.0
12,PATHWAYS AME R/W SPARK EPIN 3 كتاب لغة انجليزية,09.7.1,09.7.1,1.0
13,100 مائة من عظماء امة اﻻسﻼم,09.7.1,09.7.1,0.95
14,Step into Science #8211; My Rock Collection,09.7.1,09.2.1,0.95
15,READY FOR LIFE-BOOK-8,09.7.1,09.7.1,1.0
16,ITEM-00157:شروح كتاب التحصيلي علمي 45-46,09.7.1,10.5.0,0.95
17,PATHWAYS AME L/S SPARK EPIN 3 كتاب لغة انجليزية,09.7.1,09.7.1,1.0
18,صحفية الاقتصادية – أخبار تغريدات,09.7.2,09.7.2,1.0
19,كتاب الكتروني,09.7.1,09.7.1,0.95
20,سلسال1,13.2.1,01.1.6,0.95
21,كراسة صغير 2,09.7.4,05.6.1,1.0
22,اقلام رسم 18 لون,09.7.4,05.6.1,0.95
23,مسطره شفاف قصيره 30 وات ابيض,09.7.4,05.4.0,0.95
24,سكر الاسره ناعم 5 كيلو,01.1.8,01.1.8,1.0
25,Tea Biscuit,01.1.8,01.1.8,1.0
26,كورن فليكس كلوقز 720ج,01.1.1,01.1.1,1.0
27,خبزعربي اسمر وسط 6 قطع,01.1.1,01.1.1,1.0
28,زيت العربي بلاستيك 1.5 لتر,01.1.5,01.1.5,1.0
29,عسل الشفاء طبيعي 125ج,01.1.8,01.1.8,1.0
30,بسكويت ماكفتيز نخالة 400ج,01.1.1,01.1.8,1.0
31,جزر بلدي كيلو,01.1.7,01.1.4,1.0
32,ساديا برجر بالقسماط جامب,01.1.9,11.1.1,0.99
33,المراعي لبن طازج كامل الدسم 2لتر,01.1.4,01.1.4,1.0
34,تيشوب بسكويت 185جم,01.1.8,01.1.8,1.0
35,الريان لحم تونا 200جم,01.1.3,01.1.3,1.0
36,لوزين صامولي أسمر,01.1.1,01.1.6,1.0
37,Driscoll's Blueberries USA /Moroco/ Peru 125g,01.1.6,01.1.6,1.0
38,APPLE GREEN KG -APPLE GREEN KG,01.1.6,01.1.6,1.0
